y,blocksPerSimulation
-64.0,0.0
-63.0,0.0
-62.0,0.0
-61.0,0.0
-60.0,0.0
-59.0,0.0
-58.0,0.0
-57.0,0.0
-56.0,0.0
-55.0,0.0
-54.0,0.0
-53.0,0.0
-52.0,0.0
-51.0,0.0
-50.0,0.0
-49.0,0.0
-48.0,0.0
-47.0,0.0
-46.0,0.0
-45.0,0.0
-44.0,0.0
-43.0,0.0
-42.0,0.0
-41.0,0.0
-40.0,0.0
-39.0,0.0
-38.0,0.0
-37.0,0.0
-36.0,0.0
-35.0,0.0
-34.0,0.0
-33.0,0.0
-32.0,0.0
-31.0,0.0
-30.0,0.0
-29.0,0.0
-28.0,0.0
-27.0,0.0
-26.0,0.0
-25.0,0.0
-24.0,0.0
-23.0,0.0
-22.0,0.0
-21.0,0.0
-20.0,0.0
-19.0,0.0
-18.0,0.0
-17.0,0.0
-16.0,0.0
-15.0,0.0
-14.0,0.0
-13.0,0.0
-12.0,0.0
-11.0,0.0
-10.0,0.0
-9.0,0.0
-8.0,0.0
-7.0,0.0
-6.0,0.0
-5.0,0.08
-4.0,0.97
-3.0,3.6
-2.0,8.75
-1.0,14.93
0.0,20.48
1.0,25.57
2.0,30.81
3.0,37.32
4.0,45.29
5.0,52.53
6.0,58.42
7.0,64.9
8.0,73.37
9.0,82.35
10.0,89.68
11.0,95.2
12.0,100.6
13.0,107.05
14.0,113.24
15.0,118.78
16.0,123.85
17.0,129.4
18.0,135.22
19.0,143.48
20.0,152.21
21.0,158.64
22.0,164.33
23.0,169.72
24.0,175.07
25.0,182.43
26.0,190.94
27.0,196.01
28.0,200.59
29.0,208.98
30.0,217.19
31.0,225.72
32.0,232.82
33.0,235.37
34.0,235.47
35.0,229.64
36.0,216.24
37.0,199.13
38.0,184.99
39.0,177.89
40.0,174.85
41.0,173.98
42.0,173.04
43.0,171.36
44.0,167.08
45.0,151.28
46.0,127.79
47.0,106.22
48.0,89.59
49.0,75.74
50.0,61.68
51.0,48.92
52.0,40.45
53.0,35.71
54.0,32.33
55.0,29.28
56.0,25.97
57.0,24.41
58.0,25.15
59.0,25.04
60.0,23.59
61.0,20.96
62.0,18.05
63.0,16.05
64.0,14.61
