y,blocksPerSimulation
-64.0,0.0
-63.0,0.0
-62.0,0.0
-61.0,0.0
-60.0,0.0
-59.0,0.0
-58.0,0.0
-57.0,0.0
-56.0,0.0
-55.0,0.0
-54.0,0.0
-53.0,0.0
-52.0,0.0
-51.0,0.0
-50.0,0.0
-49.0,0.0
-48.0,0.0
-47.0,0.0
-46.0,0.0
-45.0,0.0
-44.0,0.0
-43.0,0.0
-42.0,0.0
-41.0,0.0
-40.0,0.0
-39.0,0.0
-38.0,0.0
-37.0,0.0
-36.0,0.0
-35.0,0.0
-34.0,0.0
-33.0,0.0
-32.0,0.0
-31.0,0.0
-30.0,0.0
-29.0,0.0
-28.0,0.0
-27.0,0.0
-26.0,0.0
-25.0,0.0
-24.0,0.0
-23.0,0.0
-22.0,0.0
-21.0,0.0
-20.0,0.0
-19.0,0.0
-18.0,0.0
-17.0,0.0
-16.0,0.0
-15.0,0.0
-14.0,0.0
-13.0,0.0
-12.0,0.0
-11.0,0.0
-10.0,0.0
-9.0,0.0
-8.0,0.0
-7.0,0.0
-6.0,0.0
-5.0,0.07
-4.0,0.77
-3.0,3.03
-2.0,7.95
-1.0,14.78
0.0,21.88
1.0,27.11
2.0,32.09
3.0,38.31
4.0,46.36
5.0,55.24
6.0,60.28
7.0,64.3
8.0,71.99
9.0,81.75
10.0,87.37
11.0,92.82
12.0,100.51
13.0,108.65
14.0,114.63
15.0,122.37
16.0,127.37
17.0,132.86
18.0,138.66
19.0,143.83
20.0,150.81
21.0,158.55
22.0,164.36
23.0,171.47
24.0,174.78
25.0,182.56
26.0,190.35
27.0,198.81
28.0,204.05
29.0,211.71
30.0,221.33
31.0,228.71
32.0,234.02
33.0,240.66
34.0,244.54
35.0,242.12
36.0,234.65
37.0,218.68
38.0,202.37
39.0,188.81
40.0,181.33
41.0,179.05
42.0,179.92
43.0,180.08
44.0,176.02
45.0,163.82
46.0,141.09
47.0,112.74
48.0,94.26
49.0,79.26
50.0,66.74
51.0,56.01
52.0,48.3
53.0,43.19
54.0,37.7
55.0,33.17
56.0,29.21
57.0,27.94
58.0,27.36
59.0,26.53
60.0,25.6
61.0,22.38
62.0,20.52
63.0,18.39
64.0,17.28
