y,blocksPerSimulation
-64.0,0.0
-63.0,0.0
-62.0,0.0
-61.0,0.0
-60.0,0.0
-59.0,0.0
-58.0,0.0
-57.0,0.0
-56.0,0.0
-55.0,0.0
-54.0,0.0
-53.0,0.0
-52.0,0.0
-51.0,0.0
-50.0,0.0
-49.0,0.0
-48.0,0.0
-47.0,0.0
-46.0,0.0
-45.0,0.0
-44.0,0.0
-43.0,0.0
-42.0,0.0
-41.0,0.0
-40.0,0.0
-39.0,0.0
-38.0,0.0
-37.0,0.0
-36.0,0.0
-35.0,0.0
-34.0,0.0
-33.0,0.0
-32.0,0.0
-31.0,0.0
-30.0,0.0
-29.0,0.0
-28.0,0.0
-27.0,0.0
-26.0,0.0
-25.0,0.0
-24.0,0.0
-23.0,0.0
-22.0,0.0
-21.0,0.0
-20.0,0.0
-19.0,0.0
-18.0,0.0
-17.0,0.0
-16.0,0.0
-15.0,0.0
-14.0,0.0
-13.0,0.0
-12.0,0.0
-11.0,0.0
-10.0,0.0
-9.0,0.0
-8.0,0.0
-7.0,0.0
-6.0,0.0
-5.0,2.09
-4.0,16.44
-3.0,52.88
-2.0,98.78
-1.0,132.6
0.0,148.17
1.0,151.59
2.0,151.86
3.0,152.45
4.0,154.66
5.0,156.05
6.0,153.84
7.0,151.47
8.0,151.41
9.0,151.48
10.0,151.24
11.0,154.28
12.0,158.77
13.0,160.35
14.0,160.55
15.0,162.98
16.0,166.4
17.0,168.74
18.0,170.04
19.0,169.23
20.0,169.55
21.0,169.18
22.0,166.45
23.0,165.81
24.0,165.85
25.0,166.29
26.0,167.26
27.0,166.2
28.0,165.88
29.0,165.96
30.0,164.2
31.0,161.58
32.0,160.36
33.0,157.9
34.0,149.53
35.0,140.06
36.0,130.34
37.0,120.72
38.0,111.74
39.0,102.91
40.0,96.96
41.0,92.74
42.0,92.0
43.0,91.51
44.0,84.85
45.0,74.25
46.0,62.02
47.0,50.29
48.0,39.65
49.0,31.41
50.0,25.27
51.0,19.69
52.0,16.3
53.0,14.54
54.0,12.72
55.0,11.5
56.0,10.64
57.0,9.48
58.0,8.44
59.0,7.55
60.0,6.54
61.0,4.7
62.0,2.34
63.0,0.62
64.0,0.03
