y,blocksPerSimulation
-64.0,0.0
-63.0,0.0
-62.0,0.0
-61.0,0.0
-60.0,0.0
-59.0,0.0
-58.0,0.0
-57.0,0.0
-56.0,0.0
-55.0,0.0
-54.0,0.0
-53.0,0.0
-52.0,0.0
-51.0,0.0
-50.0,0.0
-49.0,0.0
-48.0,0.0
-47.0,0.0
-46.0,0.0
-45.0,0.0
-44.0,0.0
-43.0,0.0
-42.0,0.0
-41.0,0.0
-40.0,0.0
-39.0,0.0
-38.0,0.0
-37.0,0.0
-36.0,0.0
-35.0,0.0
-34.0,0.0
-33.0,0.0
-32.0,0.0
-31.0,0.0
-30.0,0.0
-29.0,0.0
-28.0,0.0
-27.0,0.0
-26.0,0.0
-25.0,0.0
-24.0,0.0
-23.0,0.0
-22.0,0.0
-21.0,0.0
-20.0,0.0
-19.0,0.0
-18.0,0.0
-17.0,0.0
-16.0,0.0
-15.0,0.0
-14.0,0.0
-13.0,0.0
-12.0,0.0
-11.0,0.0
-10.0,0.0
-9.0,0.0
-8.0,0.0
-7.0,0.0
-6.0,0.0
-5.0,2.54
-4.0,15.57
-3.0,44.66
-2.0,88.94
-1.0,128.93
0.0,146.34
1.0,151.52
2.0,152.44
3.0,151.94
4.0,155.07
5.0,157.12
6.0,158.62
7.0,157.35
8.0,155.37
9.0,158.13
10.0,159.06
11.0,161.24
12.0,164.31
13.0,167.2
14.0,166.26
15.0,165.21
16.0,167.77
17.0,167.33
18.0,168.08
19.0,171.39
20.0,172.12
21.0,173.51
22.0,173.23
23.0,173.12
24.0,173.2
25.0,172.03
26.0,171.27
27.0,168.83
28.0,170.37
29.0,171.28
30.0,170.78
31.0,167.55
32.0,165.56
33.0,165.18
34.0,159.51
35.0,149.86
36.0,137.8
37.0,124.97
38.0,116.49
39.0,106.58
40.0,101.48
41.0,96.88
42.0,95.38
43.0,94.34
44.0,92.36
45.0,81.13
46.0,68.8
47.0,53.7
48.0,42.11
49.0,33.83
50.0,28.46
51.0,22.65
52.0,18.21
53.0,16.06
54.0,14.44
55.0,12.14
56.0,10.51
57.0,9.69
58.0,8.67
59.0,7.89
60.0,7.37
61.0,5.59
62.0,3.07
63.0,0.84
64.0,0.05
