y,blocksPerSimulation
-64.0,6.55
-63.0,8.65
-62.0,14.45
-61.0,19.65
-60.0,24.62
-59.0,27.17
-58.0,27.55
-57.0,27.76
-56.0,26.72
-55.0,24.85
-54.0,24.64
-53.0,25.91
-52.0,25.43
-51.0,24.5
-50.0,24.46
-49.0,23.75
-48.0,23.01
-47.0,22.21
-46.0,21.2
-45.0,20.56
-44.0,19.54
-43.0,19.95
-42.0,20.49
-41.0,19.56
-40.0,18.63
-39.0,17.19
-38.0,17.16
-37.0,17.14
-36.0,16.17
-35.0,15.79
-34.0,15.69
-33.0,15.4
-32.0,15.25
-31.0,16.04
-30.0,16.19
-29.0,15.07
-28.0,14.25
-27.0,14.25
-26.0,13.41
-25.0,12.74
-24.0,12.35
-23.0,11.84
-22.0,11.57
-21.0,11.27
-20.0,11.3
-19.0,11.31
-18.0,10.92
-17.0,10.32
-16.0,9.82
-15.0,9.3
-14.0,9.94
-13.0,10.27
-12.0,9.76
-11.0,8.93
-10.0,8.1
-9.0,7.8
-8.0,7.48
-7.0,7.12
-6.0,6.94
-5.0,6.88
-4.0,6.65
-3.0,6.45
-2.0,6.16
-1.0,5.34
0.0,4.6
1.0,4.23
2.0,3.92
3.0,3.98
4.0,3.86
5.0,3.33
6.0,2.81
7.0,2.4
8.0,2.05
9.0,1.7
10.0,1.49
11.0,1.02
12.0,0.55
13.0,0.48
14.0,0.31
15.0,0.15
16.0,0.04
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
