y,blocksPerSimulation
-64.0,7.01
-63.0,7.77
-62.0,13.96
-61.0,20.89
-60.0,24.75
-59.0,28.13
-58.0,28.97
-57.0,28.59
-56.0,27.06
-55.0,27.14
-54.0,26.03
-53.0,26.1
-52.0,26.42
-51.0,24.52
-50.0,24.28
-49.0,22.77
-48.0,21.88
-47.0,20.91
-46.0,20.4
-45.0,20.55
-44.0,19.74
-43.0,20.35
-42.0,20.2
-41.0,19.86
-40.0,18.98
-39.0,17.95
-38.0,17.99
-37.0,18.66
-36.0,17.62
-35.0,16.54
-34.0,16.29
-33.0,16.1
-32.0,16.41
-31.0,16.41
-30.0,16.03
-29.0,15.7
-28.0,15.55
-27.0,15.5
-26.0,14.3
-25.0,13.92
-24.0,13.02
-23.0,12.92
-22.0,12.24
-21.0,11.91
-20.0,11.33
-19.0,11.19
-18.0,10.82
-17.0,10.71
-16.0,10.21
-15.0,9.61
-14.0,9.59
-13.0,10.0
-12.0,9.72
-11.0,9.42
-10.0,7.96
-9.0,7.62
-8.0,7.19
-7.0,7.07
-6.0,6.68
-5.0,6.41
-4.0,6.42
-3.0,5.98
-2.0,5.4
-1.0,5.11
0.0,4.63
1.0,4.5
2.0,4.89
3.0,3.85
4.0,3.31
5.0,3.33
6.0,2.97
7.0,2.83
8.0,2.5
9.0,2.08
10.0,1.57
11.0,1.19
12.0,0.92
13.0,0.66
14.0,0.39
15.0,0.14
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.01
51.0,0.02
52.0,0.05
53.0,0.05
54.0,0.03
55.0,0.05
56.0,0.01
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
