y,blocksPerSimulation
-64.0,4.66
-63.0,2.25
-62.0,4.49
-61.0,7.54
-60.0,11.35
-59.0,14.21
-58.0,16.08
-57.0,18.28
-56.0,20.77
-55.0,22.47
-54.0,23.23
-53.0,23.34
-52.0,24.46
-51.0,26.77
-50.0,28.67
-49.0,30.92
-48.0,32.7
-47.0,33.57
-46.0,34.48
-45.0,36.12
-44.0,38.41
-43.0,39.92
-42.0,40.26
-41.0,40.7
-40.0,43.27
-39.0,45.82
-38.0,47.54
-37.0,48.99
-36.0,51.36
-35.0,55.18
-34.0,56.88
-33.0,56.59
-32.0,56.48
-31.0,57.76
-30.0,59.02
-29.0,59.98
-28.0,62.48
-27.0,66.08
-26.0,68.86
-25.0,69.29
-24.0,69.46
-23.0,71.56
-22.0,74.33
-21.0,76.99
-20.0,78.38
-19.0,78.7
-18.0,77.34
-17.0,75.07
-16.0,72.99
-15.0,71.33
-14.0,70.77
-13.0,69.81
-12.0,68.22
-11.0,66.68
-10.0,64.43
-9.0,61.69
-8.0,61.01
-7.0,59.76
-6.0,56.98
-5.0,54.62
-4.0,52.58
-3.0,51.83
-2.0,50.82
-1.0,49.19
0.0,47.53
1.0,44.96
2.0,42.51
3.0,40.09
4.0,37.88
5.0,37.23
6.0,37.43
7.0,36.82
8.0,35.45
9.0,34.34
10.0,32.66
11.0,30.84
12.0,29.57
13.0,27.91
14.0,25.76
15.0,23.98
16.0,22.69
17.0,21.66
18.0,21.03
19.0,19.76
20.0,17.89
21.0,15.79
22.0,14.21
23.0,13.26
24.0,11.92
25.0,10.33
26.0,8.32
27.0,6.48
28.0,5.27
29.0,3.84
30.0,2.18
31.0,0.84
32.0,0.15
33.0,0.01
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
