y,blocksPerSimulation
-64.0,5.53
-63.0,2.38
-62.0,4.46
-61.0,7.51
-60.0,10.89
-59.0,13.88
-58.0,15.27
-57.0,16.77
-56.0,18.24
-55.0,19.96
-54.0,21.61
-53.0,23.12
-52.0,24.96
-51.0,26.9
-50.0,29.24
-49.0,31.21
-48.0,33.46
-47.0,34.28
-46.0,36.18
-45.0,37.8
-44.0,38.56
-43.0,40.45
-42.0,42.27
-41.0,41.64
-40.0,42.89
-39.0,43.88
-38.0,44.89
-37.0,46.67
-36.0,51.28
-35.0,55.44
-34.0,57.2
-33.0,57.74
-32.0,58.81
-31.0,59.43
-30.0,61.65
-29.0,62.73
-28.0,63.78
-27.0,67.6
-26.0,70.1
-25.0,73.31
-24.0,75.08
-23.0,75.66
-22.0,77.0
-21.0,77.48
-20.0,76.96
-19.0,80.0
-18.0,77.91
-17.0,77.03
-16.0,78.4
-15.0,77.76
-14.0,76.04
-13.0,72.11
-12.0,68.86
-11.0,65.4
-10.0,63.88
-9.0,64.67
-8.0,64.57
-7.0,63.1
-6.0,60.39
-5.0,58.52
-4.0,54.67
-3.0,51.87
-2.0,50.51
-1.0,49.77
0.0,47.95
1.0,46.73
2.0,44.67
3.0,42.53
4.0,40.48
5.0,39.88
6.0,39.93
7.0,39.53
8.0,37.14
9.0,35.04
10.0,34.18
11.0,31.03
12.0,29.16
13.0,26.9
14.0,25.49
15.0,24.24
16.0,22.8
17.0,21.7
18.0,20.29
19.0,18.74
20.0,18.34
21.0,17.21
22.0,15.42
23.0,13.59
24.0,12.19
25.0,10.63
26.0,8.59
27.0,6.6
28.0,5.06
29.0,4.06
30.0,2.4
31.0,1.01
32.0,0.17
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
