y,blocksPerSimulation
-64.0,7.93
-63.0,7.11
-62.0,11.57
-61.0,16.3
-60.0,20.97
-59.0,24.72
-58.0,28.19
-57.0,31.09
-56.0,33.67
-55.0,36.08
-54.0,37.16
-53.0,37.91
-52.0,39.81
-51.0,40.48
-50.0,40.62
-49.0,41.63
-48.0,43.35
-47.0,45.65
-46.0,47.97
-45.0,49.86
-44.0,50.67
-43.0,52.32
-42.0,53.14
-41.0,52.58
-40.0,52.98
-39.0,51.13
-38.0,49.1
-37.0,48.89
-36.0,47.49
-35.0,46.25
-34.0,44.55
-33.0,42.97
-32.0,43.64
-31.0,45.6
-30.0,46.08
-29.0,45.69
-28.0,46.45
-27.0,47.88
-26.0,51.03
-25.0,55.03
-24.0,59.89
-23.0,66.5
-22.0,73.34
-21.0,80.33
-20.0,87.51
-19.0,92.5
-18.0,95.98
-17.0,98.68
-16.0,102.73
-15.0,109.21
-14.0,116.41
-13.0,123.94
-12.0,128.32
-11.0,128.89
-10.0,131.26
-9.0,135.38
-8.0,136.02
-7.0,136.57
-6.0,139.31
-5.0,144.04
-4.0,150.9
-3.0,158.25
-2.0,164.67
-1.0,168.76
0.0,170.92
1.0,174.43
2.0,180.66
3.0,186.87
4.0,192.99
5.0,198.5
6.0,202.89
7.0,205.75
8.0,210.76
9.0,221.12
10.0,232.74
11.0,238.37
12.0,238.77
13.0,241.09
14.0,244.91
15.0,244.66
16.0,238.48
17.0,233.64
18.0,228.08
19.0,220.68
20.0,216.09
21.0,213.36
22.0,208.8
23.0,200.47
24.0,192.66
25.0,185.56
26.0,178.58
27.0,173.96
28.0,171.35
29.0,168.87
30.0,164.86
31.0,159.33
32.0,150.88
33.0,141.88
34.0,132.44
35.0,118.88
36.0,104.88
37.0,90.53
38.0,79.5
39.0,72.39
40.0,65.68
41.0,60.53
42.0,55.28
43.0,50.91
44.0,45.69
45.0,38.48
46.0,29.75
47.0,21.33
48.0,16.04
49.0,11.98
50.0,8.43
51.0,6.3
52.0,4.73
53.0,3.33
54.0,2.49
55.0,1.8
56.0,1.32
57.0,1.11
58.0,1.12
59.0,1.22
60.0,1.1
61.0,0.77
62.0,0.66
63.0,0.72
64.0,0.64
