y,blocksPerSimulation
-64.0,9.13
-63.0,6.62
-62.0,11.77
-61.0,16.64
-60.0,20.74
-59.0,25.34
-58.0,28.18
-57.0,30.25
-56.0,33.77
-55.0,35.34
-54.0,36.78
-53.0,38.58
-52.0,38.82
-51.0,41.33
-50.0,43.19
-49.0,42.05
-48.0,43.8
-47.0,46.09
-46.0,46.69
-45.0,48.61
-44.0,51.0
-43.0,51.83
-42.0,52.4
-41.0,52.26
-40.0,51.63
-39.0,49.93
-38.0,50.45
-37.0,50.22
-36.0,48.53
-35.0,47.63
-34.0,47.62
-33.0,47.42
-32.0,48.05
-31.0,48.01
-30.0,49.32
-29.0,49.83
-28.0,50.45
-27.0,50.76
-26.0,54.0
-25.0,58.06
-24.0,61.68
-23.0,69.4
-22.0,76.4
-21.0,81.17
-20.0,89.84
-19.0,96.42
-18.0,101.63
-17.0,106.54
-16.0,110.12
-15.0,113.38
-14.0,120.56
-13.0,128.19
-12.0,131.15
-11.0,132.87
-10.0,135.35
-9.0,135.9
-8.0,138.66
-7.0,137.61
-6.0,141.68
-5.0,148.21
-4.0,151.43
-3.0,157.57
-2.0,163.19
-1.0,166.69
0.0,174.2
1.0,180.05
2.0,184.29
3.0,191.2
4.0,198.81
5.0,204.43
6.0,207.92
7.0,212.11
8.0,215.71
9.0,222.04
10.0,231.44
11.0,238.8
12.0,243.67
13.0,245.0
14.0,247.24
15.0,248.15
16.0,242.7
17.0,236.06
18.0,233.44
19.0,229.41
20.0,223.81
21.0,220.69
22.0,215.73
23.0,210.69
24.0,204.57
25.0,199.15
26.0,190.13
27.0,181.91
28.0,176.04
29.0,174.09
30.0,170.65
31.0,165.7
32.0,157.84
33.0,148.05
34.0,137.08
35.0,125.43
36.0,111.64
37.0,98.53
38.0,85.8
39.0,76.74
40.0,69.25
41.0,61.8
42.0,58.06
43.0,53.43
44.0,47.55
45.0,41.32
46.0,31.62
47.0,23.23
48.0,17.1
49.0,13.2
50.0,9.95
51.0,6.94
52.0,4.65
53.0,3.36
54.0,2.41
55.0,1.86
56.0,1.52
57.0,1.39
58.0,1.45
59.0,1.36
60.0,1.05
61.0,0.75
62.0,0.89
63.0,0.74
64.0,0.84
