y,blocksPerSimulation
-64.0,3.47
-63.0,4.11
-62.0,7.26
-61.0,10.33
-60.0,12.99
-59.0,15.4
-58.0,15.37
-57.0,15.26
-56.0,14.93
-55.0,14.77
-54.0,14.37
-53.0,13.95
-52.0,13.86
-51.0,13.09
-50.0,14.18
-49.0,14.85
-48.0,14.97
-47.0,15.02
-46.0,14.47
-45.0,14.57
-44.0,14.93
-43.0,14.44
-42.0,14.48
-41.0,14.49
-40.0,14.17
-39.0,14.35
-38.0,14.09
-37.0,13.45
-36.0,13.73
-35.0,14.11
-34.0,14.06
-33.0,15.64
-32.0,17.44
-31.0,18.99
-30.0,20.23
-29.0,21.85
-28.0,23.14
-27.0,23.7
-26.0,24.65
-25.0,25.71
-24.0,27.61
-23.0,29.05
-22.0,30.07
-21.0,30.56
-20.0,30.8
-19.0,31.96
-18.0,33.96
-17.0,36.17
-16.0,38.33
-15.0,39.46
-14.0,39.98
-13.0,41.15
-12.0,41.44
-11.0,42.27
-10.0,44.41
-9.0,46.02
-8.0,47.31
-7.0,49.09
-6.0,50.13
-5.0,51.45
-4.0,54.04
-3.0,55.11
-2.0,55.23
-1.0,53.8
0.0,51.53
1.0,51.25
2.0,50.23
3.0,47.29
4.0,44.38
5.0,42.95
6.0,41.91
7.0,41.2
8.0,40.75
9.0,39.71
10.0,38.38
11.0,37.02
12.0,35.97
13.0,34.07
14.0,32.98
15.0,32.32
16.0,30.52
17.0,29.45
18.0,28.19
19.0,26.83
20.0,26.58
21.0,26.28
22.0,24.89
23.0,23.23
24.0,22.46
25.0,21.13
26.0,19.76
27.0,18.01
28.0,16.53
29.0,15.58
30.0,14.01
31.0,13.24
32.0,13.27
33.0,12.86
34.0,12.79
35.0,12.53
36.0,11.14
37.0,10.22
38.0,9.41
39.0,8.66
40.0,8.33
41.0,8.31
42.0,8.12
43.0,7.87
44.0,7.91
45.0,7.0
46.0,5.6
47.0,4.57
48.0,3.87
49.0,3.09
50.0,2.33
51.0,1.8
52.0,1.45
53.0,1.47
54.0,1.17
55.0,1.08
56.0,1.11
57.0,0.85
58.0,0.88
59.0,0.84
60.0,0.72
61.0,0.66
62.0,0.66
63.0,0.68
64.0,0.38
