y,blocksPerSimulation
-64.0,3.82
-63.0,3.78
-62.0,6.85
-61.0,10.34
-60.0,13.14
-59.0,14.55
-58.0,15.27
-57.0,15.04
-56.0,14.1
-55.0,14.58
-54.0,13.96
-53.0,14.96
-52.0,14.48
-51.0,14.17
-50.0,14.66
-49.0,14.56
-48.0,14.95
-47.0,14.93
-46.0,14.34
-45.0,14.22
-44.0,13.96
-43.0,14.11
-42.0,13.95
-41.0,14.03
-40.0,14.11
-39.0,14.67
-38.0,14.87
-37.0,14.52
-36.0,14.51
-35.0,14.47
-34.0,15.67
-33.0,16.94
-32.0,18.24
-31.0,19.54
-30.0,20.73
-29.0,21.51
-28.0,22.73
-27.0,23.41
-26.0,25.02
-25.0,26.76
-24.0,27.98
-23.0,30.03
-22.0,31.2
-21.0,31.65
-20.0,33.24
-19.0,33.74
-18.0,35.22
-17.0,37.31
-16.0,38.42
-15.0,40.29
-14.0,41.23
-13.0,42.16
-12.0,42.62
-11.0,41.92
-10.0,44.13
-9.0,46.16
-8.0,47.31
-7.0,48.15
-6.0,49.85
-5.0,51.8
-4.0,53.62
-3.0,54.78
-2.0,55.38
-1.0,54.55
0.0,52.76
1.0,51.72
2.0,50.08
3.0,48.0
4.0,46.77
5.0,44.36
6.0,43.61
7.0,42.53
8.0,41.06
9.0,40.02
10.0,38.6
11.0,37.91
12.0,36.2
13.0,34.64
14.0,34.77
15.0,33.47
16.0,31.94
17.0,30.77
18.0,29.83
19.0,28.81
20.0,28.03
21.0,27.63
22.0,26.44
23.0,24.38
24.0,22.4
25.0,21.75
26.0,20.18
27.0,18.34
28.0,16.91
29.0,15.59
30.0,14.68
31.0,14.14
32.0,13.66
33.0,13.38
34.0,13.06
35.0,12.46
36.0,12.26
37.0,10.02
38.0,9.83
39.0,8.56
40.0,7.47
41.0,7.65
42.0,7.68
43.0,7.37
44.0,7.09
45.0,6.47
46.0,5.86
47.0,4.54
48.0,3.68
49.0,2.85
50.0,2.22
51.0,1.94
52.0,1.42
53.0,1.39
54.0,1.14
55.0,1.11
56.0,1.02
57.0,1.0
58.0,0.9
59.0,0.8
60.0,0.74
61.0,0.63
62.0,0.51
63.0,0.54
64.0,0.41
