y,blocksPerSimulation
-64.0,15.57
-63.0,64.17
-62.0,174.1
-61.0,361.24
-60.0,568.68
-59.0,715.47
-58.0,823.32
-57.0,931.61
-56.0,884.55
-55.0,530.71
-54.0,149.22
-53.0,20.97
-52.0,21.95
-51.0,21.7
-50.0,20.54
-49.0,21.74
-48.0,24.4
-47.0,27.1
-46.0,31.97
-45.0,38.58
-44.0,44.06
-43.0,49.65
-42.0,59.71
-41.0,72.83
-40.0,84.68
-39.0,95.54
-38.0,108.75
-37.0,126.07
-36.0,145.68
-35.0,165.35
-34.0,185.31
-33.0,204.69
-32.0,218.52
-31.0,218.98
-30.0,202.15
-29.0,175.72
-28.0,153.93
-27.0,144.42
-26.0,141.23
-25.0,132.73
-24.0,114.09
-23.0,91.27
-22.0,72.57
-21.0,59.66
-20.0,49.96
-19.0,42.83
-18.0,38.12
-17.0,33.73
-16.0,30.13
-15.0,28.96
-14.0,28.89
-13.0,27.64
-12.0,25.01
-11.0,22.88
-10.0,22.52
-9.0,24.21
-8.0,26.66
-7.0,27.27
-6.0,25.01
-5.0,20.62
-4.0,16.8
-3.0,14.25
-2.0,12.0
-1.0,10.48
0.0,10.41
1.0,10.74
2.0,9.73
3.0,8.32
4.0,7.69
5.0,7.0
6.0,6.04
7.0,5.72
8.0,5.75
9.0,5.61
10.0,5.53
11.0,5.93
12.0,6.63
13.0,6.86
14.0,6.87
15.0,6.86
16.0,6.14
17.0,4.75
18.0,4.28
19.0,4.65
20.0,4.77
21.0,4.82
22.0,4.98
23.0,4.86
24.0,4.24
25.0,3.78
26.0,3.91
27.0,5.01
28.0,6.34
29.0,6.15
30.0,4.83
31.0,3.85
32.0,2.81
33.0,2.19
34.0,3.02
35.0,3.69
36.0,3.32
37.0,3.38
38.0,4.37
39.0,4.44
40.0,3.13
41.0,2.23
42.0,2.04
43.0,1.6
44.0,0.8
45.0,0.25
46.0,0.11
47.0,0.1
48.0,0.22
49.0,0.45
50.0,0.4
51.0,0.12
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.06
62.0,0.18
63.0,0.35
64.0,0.56
