y,blocksPerSimulation
-64.0,19.7
-63.0,49.62
-62.0,169.66
-61.0,318.62
-60.0,541.63
-59.0,708.01
-58.0,816.27
-57.0,923.5
-56.0,865.01
-55.0,698.6
-54.0,188.82
-53.0,24.21
-52.0,24.8
-51.0,25.91
-50.0,23.38
-49.0,23.96
-48.0,24.26
-47.0,28.21
-46.0,32.74
-45.0,40.5
-44.0,45.56
-43.0,51.95
-42.0,62.86
-41.0,78.44
-40.0,98.83
-39.0,117.84
-38.0,141.2
-37.0,168.2
-36.0,195.97
-35.0,227.81
-34.0,251.86
-33.0,271.83
-32.0,287.16
-31.0,287.34
-30.0,265.87
-29.0,234.44
-28.0,192.73
-27.0,172.79
-26.0,170.43
-25.0,157.42
-24.0,137.17
-23.0,102.21
-22.0,76.19
-21.0,59.96
-20.0,51.15
-19.0,44.12
-18.0,41.59
-17.0,39.17
-16.0,38.01
-15.0,36.06
-14.0,34.41
-13.0,33.54
-12.0,32.41
-11.0,32.73
-10.0,33.1
-9.0,35.22
-8.0,40.43
-7.0,41.47
-6.0,38.94
-5.0,35.38
-4.0,27.88
-3.0,22.82
-2.0,19.36
-1.0,16.64
0.0,14.2
1.0,12.5
2.0,10.39
3.0,7.83
4.0,6.56
5.0,7.33
6.0,6.79
7.0,7.5
8.0,6.92
9.0,6.21
10.0,5.97
11.0,6.01
12.0,7.18
13.0,8.13
14.0,7.34
15.0,7.55
16.0,7.22
17.0,6.53
18.0,5.75
19.0,5.57
20.0,5.42
21.0,5.08
22.0,5.72
23.0,5.87
24.0,4.92
25.0,4.38
26.0,4.04
27.0,4.03
28.0,4.94
29.0,5.84
30.0,5.25
31.0,3.49
32.0,3.51
33.0,3.14
34.0,3.74
35.0,5.1
36.0,5.4
37.0,5.0
38.0,5.28
39.0,6.37
40.0,3.63
41.0,2.41
42.0,1.48
43.0,1.14
44.0,0.45
45.0,0.18
46.0,0.11
47.0,0.1
48.0,0.42
49.0,0.74
50.0,0.92
51.0,0.27
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.05
62.0,0.12
63.0,0.42
64.0,0.21
