y,blocksPerSimulation
-64.0,50.33
-63.0,71.46
-62.0,114.95
-61.0,157.53
-60.0,195.04
-59.0,212.45
-58.0,211.77
-57.0,205.0
-56.0,196.93
-55.0,188.23
-54.0,179.06
-53.0,173.45
-52.0,168.57
-51.0,161.45
-50.0,154.83
-49.0,148.43
-48.0,141.33
-47.0,134.49
-46.0,127.18
-45.0,120.05
-44.0,113.04
-43.0,106.0
-42.0,98.86
-41.0,91.91
-40.0,85.48
-39.0,78.7
-38.0,73.02
-37.0,68.34
-36.0,62.77
-35.0,56.09
-34.0,50.15
-33.0,46.28
-32.0,43.64
-31.0,41.76
-30.0,41.2
-29.0,41.64
-28.0,42.46
-27.0,42.72
-26.0,42.1
-25.0,41.53
-24.0,42.2
-23.0,42.77
-22.0,42.73
-21.0,42.76
-20.0,41.18
-19.0,40.01
-18.0,40.38
-17.0,40.21
-16.0,40.2
-15.0,40.88
-14.0,40.49
-13.0,40.45
-12.0,42.52
-11.0,43.13
-10.0,41.98
-9.0,40.82
-8.0,40.45
-7.0,42.0
-6.0,42.23
-5.0,40.67
-4.0,40.06
-3.0,39.52
-2.0,38.13
-1.0,37.46
0.0,37.62
1.0,39.06
2.0,40.44
3.0,40.88
4.0,40.25
5.0,39.67
6.0,40.83
7.0,42.1
8.0,41.3
9.0,39.24
10.0,38.41
11.0,38.02
12.0,34.92
13.0,25.35
14.0,12.44
15.0,3.62
16.0,0.47
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
