y,blocksPerSimulation
-64.0,50.66
-63.0,67.21
-62.0,115.08
-61.0,158.0
-60.0,195.29
-59.0,219.21
-58.0,217.75
-57.0,210.39
-56.0,204.71
-55.0,195.3
-54.0,188.59
-53.0,182.59
-52.0,176.06
-51.0,168.69
-50.0,159.7
-49.0,151.59
-48.0,144.27
-47.0,137.88
-46.0,130.73
-45.0,122.74
-44.0,116.45
-43.0,109.57
-42.0,103.32
-41.0,96.87
-40.0,91.24
-39.0,84.0
-38.0,76.44
-37.0,70.53
-36.0,63.42
-35.0,55.73
-34.0,50.94
-33.0,46.22
-32.0,43.7
-31.0,43.25
-30.0,43.27
-29.0,44.66
-28.0,43.77
-27.0,43.7
-26.0,41.87
-25.0,41.92
-24.0,43.51
-23.0,45.89
-22.0,45.46
-21.0,42.9
-20.0,42.37
-19.0,42.02
-18.0,41.58
-17.0,40.66
-16.0,40.43
-15.0,40.25
-14.0,40.61
-13.0,39.82
-12.0,41.3
-11.0,41.84
-10.0,41.71
-9.0,42.28
-8.0,43.02
-7.0,42.68
-6.0,41.8
-5.0,40.99
-4.0,40.48
-3.0,43.08
-2.0,44.36
-1.0,41.66
0.0,38.19
1.0,38.96
2.0,39.51
3.0,39.85
4.0,39.79
5.0,39.55
6.0,39.66
7.0,42.27
8.0,44.19
9.0,44.05
10.0,42.55
11.0,41.15
12.0,36.31
13.0,27.51
14.0,15.75
15.0,4.63
16.0,0.41
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
