y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10420,0,40,0,1,0,0,0,0,0
62,10420,0,63,0,1,0,0,0,0,0
61,10420,0,79,0,1,0,0,0,0,0
60,10420,0,124,0,0,2,0,0,0,0
59,10420,0,110,6,0,3,0,0,0,0
58,10420,0,77,6,0,3,0,0,0,0
57,10420,0,80,6,0,3,0,0,0,0
56,10420,0,64,23,0,1,0,0,0,0
55,10420,0,64,23,0,0,0,0,0,0
54,10420,0,47,24,0,2,0,0,0,0
53,10420,0,23,26,0,2,0,0,0,0
52,10420,0,0,36,2,0,0,0,0,0
51,10420,0,0,17,2,0,0,0,0,0
50,10420,0,14,41,1,3,0,0,0,0
49,10420,0,75,44,1,3,0,0,0,0
48,10420,0,82,29,1,0,0,0,0,0
47,10420,0,129,23,3,0,0,0,0,0
46,10420,0,129,23,3,0,0,0,0,0
45,10420,0,103,8,9,0,0,0,0,0
44,10420,0,123,8,9,0,0,0,0,0
43,10420,0,135,8,9,0,0,0,0,0
42,10420,0,195,30,6,0,0,0,0,0
41,10420,0,111,40,4,0,0,0,0,0
40,10420,0,160,64,18,3,0,0,0,0
39,10420,0,211,84,25,3,0,0,0,0
38,10420,0,215,100,25,6,0,0,0,0
37,10420,0,177,72,28,7,0,0,0,0
36,10420,0,209,63,28,4,0,0,0,0
35,10420,0,266,60,15,3,0,0,0,0
34,10420,0,246,48,20,3,0,0,0,0
33,10420,0,215,47,17,0,0,0,0,0
32,10420,0,189,47,18,0,0,0,0,0
31,10420,0,144,67,19,0,0,0,0,0
30,10420,0,144,49,14,0,0,0,0,0
29,10420,0,110,65,18,0,0,0,0,0
28,10420,0,62,34,20,1,0,0,0,0
27,10420,0,62,34,18,1,0,0,0,0
26,10420,0,84,32,30,0,0,0,0,0
25,10420,0,80,35,26,0,0,0,0,0
24,10420,0,62,25,30,0,0,0,0,0
23,10420,0,67,15,28,0,0,0,0,0
22,10420,0,106,25,46,3,0,0,0,0
21,10420,0,111,27,40,3,0,0,0,0
20,10420,0,172,32,48,3,0,0,0,0
19,10420,0,154,34,43,3,0,8,0,0
18,10420,0,154,28,21,8,0,8,0,0
17,10420,0,129,59,13,11,0,8,0,0
16,10420,0,129,49,21,11,0,8,0,0
15,10420,0,24,49,21,8,6,8,0,0
14,10420,0,24,43,23,17,6,0,0,0
13,10420,0,0,29,15,17,6,8,0,0
12,10420,0,0,18,11,26,6,12,0,0
11,10420,0,0,27,10,27,6,12,0,0
10,10420,0,0,34,12,23,0,18,0,0
9,10420,0,0,32,8,19,0,18,0,0
8,10420,0,0,34,8,19,0,6,0,0
7,10420,0,0,40,8,4,6,9,0,0
6,10420,0,0,32,14,0,6,19,0,0
5,10420,0,0,38,14,7,6,13,0,0
4,10420,0,0,42,32,7,6,13,0,0
3,10420,0,0,33,34,11,6,13,0,0
2,10420,0,0,27,36,15,6,6,0,0
1,10420,0,0,21,36,18,6,0,0,0
0,10420,0,0,22,12,12,6,10,0,0
-1,10420,0,0,22,9,18,6,23,0,0
-2,10420,0,0,13,11,14,6,23,0,0
-3,10420,0,0,3,4,6,4,39,0,0
-4,10420,0,0,0,18,6,4,33,0,0
-5,10420,0,0,0,26,6,8,16,0,0
-6,10420,0,0,0,24,5,12,24,0,0
-7,10420,0,0,0,83,4,8,31,0,0
-8,10420,0,0,0,361,11,14,21,0,2
-9,10420,0,0,0,370,16,6,21,0,2
-10,10420,0,0,0,363,12,6,21,0,2
-11,10420,0,0,0,361,9,6,32,0,2
-12,10420,0,0,0,369,4,6,31,0,2
-13,10420,0,0,0,376,5,6,25,0,2
-14,10420,0,0,0,376,5,12,20,0,2
-15,10420,0,0,0,88,15,6,20,0,0
-16,10420,0,0,0,84,11,6,20,0,0
-17,10420,0,0,0,12,10,19,6,0,0
-18,10420,0,0,0,6,15,19,12,0,0
-19,10420,0,0,0,5,15,19,13,0,0
-20,10420,0,0,0,13,10,19,20,0,4
-21,10420,0,0,0,8,1,19,7,0,4
-22,10420,0,0,0,8,1,6,7,0,4
-23,10420,0,0,0,16,3,23,7,0,0
-24,10420,0,0,0,61,6,17,22,0,0
-25,10420,0,0,0,53,6,17,19,0,5
-26,10420,0,0,0,47,19,9,12,0,5
-27,10420,0,0,0,51,20,9,12,0,3
-28,10420,0,0,0,51,15,9,18,0,7
-29,10420,0,0,0,48,6,0,14,0,7
-30,10420,0,0,0,58,7,0,20,0,7
-31,10420,0,0,0,58,4,0,14,0,7
-32,10420,0,0,0,426,8,13,14,0,0
