y,blocks mined,lava,coal,copper,iron,lapis,redstone,gold,emeralds,diamonds
63,10234,0,403,0,18,9,0,0,0,0
62,10234,0,724,30,18,6,0,0,0,0
61,10234,0,923,145,13,3,0,0,0,0
60,10234,0,642,214,16,9,0,0,0,0
59,10234,0,761,332,12,11,0,0,0,0
58,10234,0,665,545,25,14,0,0,0,0
57,10234,0,722,608,53,11,0,0,0,0
56,10234,0,631,452,64,8,0,0,0,0
55,10234,0,993,430,44,6,0,0,0,0
54,10234,0,1047,367,53,10,0,0,0,0
53,10234,0,995,231,71,10,0,0,0,0
52,10234,0,909,212,77,10,0,0,0,0
51,10234,0,711,217,57,12,0,0,0,0
50,10234,0,618,260,52,17,0,0,0,0
49,10234,0,651,170,43,2,0,0,0,0
48,10234,0,638,184,81,4,0,0,0,0
47,10234,0,546,218,89,4,0,0,0,0
46,10234,0,621,276,85,6,0,0,0,0
45,10234,0,889,457,92,7,0,0,0,0
44,10234,0,1127,447,72,33,0,0,0,0
43,10234,0,1358,491,113,27,0,0,0,0
42,10234,0,1333,326,151,29,0,0,0,0
41,10234,0,1053,335,159,45,0,0,0,0
40,10234,0,911,329,178,35,0,0,0,0
39,10234,0,1015,312,205,38,0,0,0,0
38,10234,0,856,270,192,40,0,0,0,0
37,10234,0,1030,338,192,14,0,0,0,0
36,10234,0,881,287,132,25,0,0,0,0
35,10234,0,673,251,111,35,0,0,0,0
34,10234,0,623,323,109,31,0,0,0,0
33,10234,0,718,383,151,38,0,0,0,0
32,10234,0,767,589,143,48,0,0,0,0
31,10234,0,888,561,148,41,0,0,0,0
30,10234,0,867,579,202,78,0,0,0,0
29,10234,0,907,502,179,83,0,0,0,0
28,10234,0,746,336,145,70,0,0,0,0
27,10234,0,697,475,257,66,0,0,0,0
26,10234,0,679,480,292,54,0,0,0,0
25,10234,0,742,472,287,48,0,4,0,0
24,10234,1,841,619,366,43,0,0,0,0
23,10234,0,733,604,413,37,0,0,0,0
22,10234,0,742,511,529,88,0,0,0,0
21,10234,0,939,483,581,99,0,5,0,0
20,10234,0,1005,500,499,85,0,36,0,0
19,10234,0,1086,469,368,67,0,30,0,0
18,10234,0,961,367,204,42,0,40,0,0
17,10234,0,651,246,249,60,0,40,0,0
16,10234,0,447,343,256,46,0,46,0,0
15,10234,0,318,413,281,44,0,58,0,0
14,10234,0,144,459,286,39,29,59,0,0
13,10234,0,147,494,268,30,72,50,0,0
12,10234,0,127,533,265,31,122,74,0,0
11,10234,0,61,400,275,40,126,75,0,0
10,10234,0,151,386,304,65,116,71,0,9
9,10234,0,307,331,284,87,76,76,0,9
8,10234,0,291,330,274,92,59,47,0,9
7,10234,0,394,332,168,83,87,20,0,15
6,10234,0,484,318,212,56,114,28,0,15
5,10234,0,504,292,162,54,110,16,0,9
4,10234,0,634,431,111,39,76,39,0,0
3,10234,0,608,318,88,51,79,66,0,0
2,10234,0,633,263,149,81,99,84,0,3
1,10234,0,578,180,239,111,107,116,0,5
0,10234,0,420,225,251,134,103,196,0,16
-1,10234,0,285,262,210,103,113,192,0,14
-2,10234,0,285,310,151,126,77,155,0,5
-3,10234,0,0,254,230,72,50,114,0,0
-4,10234,0,0,85,282,53,34,88,0,0
-5,10234,0,0,12,259,62,74,83,0,20
-6,10234,0,0,0,274,54,50,72,0,34
-7,10234,0,0,0,263,52,108,54,0,47
-8,10234,0,0,0,174,42,121,26,0,42
-9,10234,0,0,0,137,39,115,33,0,20
-10,10234,0,0,0,78,31,97,52,0,26
-11,10234,0,0,0,90,40,58,122,0,29
-12,10234,0,0,0,89,48,30,116,0,31
-13,10234,0,0,0,66,50,36,104,0,26
-14,10234,0,0,0,39,59,28,93,0,21
-15,10234,0,0,0,42,52,24,70,0,12
-16,10234,0,0,0,60,77,32,122,0,18
-17,10234,0,0,0,71,69,41,161,0,29
-18,10234,0,0,0,73,52,72,236,0,24
-19,10234,0,0,0,66,50,92,249,0,38
-20,10234,0,0,0,113,65,122,189,0,24
-21,10234,0,0,0,99,56,146,161,0,22
-22,10234,0,0,0,100,75,124,108,0,12
-23,10234,0,0,0,99,79,74,109,0,3
-24,10234,0,0,0,41,91,80,126,0,2
-25,10234,0,0,0,22,90,65,149,0,0
-26,10234,0,0,0,14,58,96,129,0,14
-27,10234,0,0,0,20,37,74,208,0,12
-28,10234,0,0,0,24,10,38,126,0,8
-29,10234,0,0,0,64,12,30,133,0,2
-30,10234,0,0,0,109,18,24,131,0,2
-31,10234,0,0,0,63,16,18,77,0,4
-32,10234,0,0,0,42,28,20,12,0,16
-33,10234,11,0,0,20,33,58,80,0,16
-34,10234,25,0,0,12,14,68,100,0,13
